Domain Code,Country,Country Code,Year,Item,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
FBSH,Congo,COG,2003,Wheat and products,362.32,10.63,1.74
FBSH,Costa Rica,CRI,2003,Eggs,34.22,2.61,2.27
FBSH,Costa Rica,CRI,2003,Maize and products,62.16,1.62,0.74
FBSH,Costa Rica,CRI,2003,Milk - Excluding Butter,285.69,16.07,14.59
FBSH,Costa Rica,CRI,2003,"Pulses, Other and products",2.75,0.17,0.03
FBSH,Costa Rica,CRI,2003,Rice and products,484.37,9.59,0.82
FBSH,Costa Rica,CRI,2003,Wheat and products,321.96,8.38,1.03
FBSH,Croatia,HRV,2003,Eggs,42.4,3.26,2.99
FBSH,Croatia,HRV,2003,Maize and products,63.21,1.46,0.21
FBSH,Croatia,HRV,2003,Milk - Excluding Butter,258.46,15.31,15.42
FBSH,Croatia,HRV,2003,"Pulses, Other and products",1.19,0.08,0.01
FBSH,Croatia,HRV,2003,Rice and products,23.05,0.43,0.05
FBSH,Croatia,HRV,2003,Wheat and products,772.56,22.67,3.38
FBSH,Cuba,CUB,2003,Eggs,23.29,1.77,1.54
FBSH,Cuba,CUB,2003,Maize and products,226.37,5.89,2.7
FBSH,Cuba,CUB,2003,Milk - Excluding Butter,122.84,6.86,5.27
FBSH,Cuba,CUB,2003,"Pulses, Other and products",15.48,1.0,0.1
FBSH,Cuba,CUB,2003,Rice and products,588.52,11.33,1.07
FBSH,Cuba,CUB,2003,Wheat and products,446.39,11.88,1.48
FBSH,Cyprus,CYP,2003,Eggs,46.38,3.49,3.33
FBSH,Cyprus,CYP,2003,Maize and products,9.68,0.23,0.03
FBSH,Cyprus,CYP,2003,Milk - Excluding Butter,278.91,13.67,17.63
FBSH,Cyprus,CYP,2003,"Pulses, Other and products",16.6,1.12,0.09
FBSH,Cyprus,CYP,2003,Rice and products,66.01,1.28,0.15
FBSH,Cyprus,CYP,2003,Wheat and products,549.49,15.95,4.21
FBSH,Czechia,CZE,2003,Eggs,55.6,4.28,3.92
FBSH,Czechia,CZE,2003,Maize and products,0.0,0.0,0.0
FBSH,Czechia,CZE,2003,Milk - Excluding Butter,263.45,20.02,12.87
FBSH,Czechia,CZE,2003,"Pulses, Other and products",6.56,0.46,0.04
FBSH,Czechia,CZE,2003,Rice and products,47.54,0.89,0.1
FBSH,Czechia,CZE,2003,Wheat and products,724.51,21.28,3.1
FBSH,Côte d'Ivoire,CIV,2003,Eggs,5.65,0.48,0.39
FBSH,Côte d'Ivoire,CIV,2003,Maize and products,186.33,4.91,2.01
FBSH,Côte d'Ivoire,CIV,2003,Milk - Excluding Butter,16.17,0.8,0.73
FBSH,Côte d'Ivoire,CIV,2003,"Pulses, Other and products",5.27,0.35,0.03
FBSH,Côte d'Ivoire,CIV,2003,Rice and products,507.45,10.31,1.19
FBSH,Côte d'Ivoire,CIV,2003,Wheat and products,146.57,4.33,0.78
None,Democratic Republic of the Congo,COD,2003,Eggs,None,None,None
None,Democratic Republic of the Congo,COD,2003,Maize and products,None,None,None
None,Democratic Republic of the Congo,COD,2003,Milk - Excluding Butter,None,None,None
None,Democratic Republic of the Congo,COD,2003,"Pulses, Other and products",None,None,None
None,Democratic Republic of the Congo,COD,2003,Rice and products,None,None,None
None,Democratic Republic of the Congo,COD,2003,Wheat and products,None,None,None
FBSH,Denmark,DNK,2003,Eggs,70.79,5.69,4.98
FBSH,Denmark,DNK,2003,Maize and products,18.48,0.43,0.06
FBSH,Denmark,DNK,2003,Milk - Excluding Butter,235.24,17.11,15.78
FBSH,Denmark,DNK,2003,"Pulses, Other and products",1.63,0.1,0.02
FBSH,Denmark,DNK,2003,Rice and products,43.57,0.84,0.07
FBSH,Denmark,DNK,2003,Wheat and products,616.02,19.96,2.41
FBSH,Djibouti,DJI,2003,Eggs,2.37,0.18,0.17
FBSH,Djibouti,DJI,2003,Maize and products,8.54,0.2,0.03
FBSH,Djibouti,DJI,2003,Milk - Excluding Butter,123.54,6.55,6.87
FBSH,Djibouti,DJI,2003,"Pulses, Other and products",23.24,1.62,0.12
FBSH,Djibouti,DJI,2003,Rice and products,410.52,7.64,0.8
FBSH,Djibouti,DJI,2003,Wheat and products,714.59,21.26,2.75
FBSH,Dominica,DMA,2003,Eggs,9.12,0.7,0.59
FBSH,Dominica,DMA,2003,Maize and products,29.35,0.63,0.08
FBSH,Dominica,DMA,2003,Milk - Excluding Butter,272.95,14.13,13.54
FBSH,Dominica,DMA,2003,"Pulses, Other and products",32.05,2.23,0.16
FBSH,Dominica,DMA,2003,Rice and products,86.93,1.8,0.43
FBSH,Dominica,DMA,2003,Wheat and products,572.84,16.13,1.68
FBSH,Dominican Republic,DOM,2003,Eggs,21.2,1.61,1.4
FBSH,Dominican Republic,DOM,2003,Maize and products,54.16,1.41,0.65
FBSH,Dominican Republic,DOM,2003,Milk - Excluding Butter,71.62,4.15,3.45
FBSH,Dominican Republic,DOM,2003,"Pulses, Other and products",34.94,2.11,0.18
FBSH,Dominican Republic,DOM,2003,Rice and products,330.72,6.54,0.55
FBSH,Dominican Republic,DOM,2003,Wheat and products,135.36,4.25,0.76
FBSH,Ecuador,ECU,2003,Eggs,17.01,1.3,1.13
FBSH,Ecuador,ECU,2003,Maize and products,47.74,1.24,0.57
FBSH,Ecuador,ECU,2003,Milk - Excluding Butter,189.65,10.27,11.4
FBSH,Ecuador,ECU,2003,"Pulses, Other and products",14.57,1.05,0.1
FBSH,Ecuador,ECU,2003,Rice and products,429.72,8.5,0.71
FBSH,Ecuador,ECU,2003,Wheat and products,261.74,6.9,1.11
FBSH,Egypt,EGY,2003,Eggs,13.05,0.98,0.94
FBSH,Egypt,EGY,2003,Maize and products,592.6,15.63,8.31
FBSH,Egypt,EGY,2003,Milk - Excluding Butter,96.22,5.85,6.57
FBSH,Egypt,EGY,2003,"Pulses, Other and products",77.69,5.9,0.32
FBSH,Egypt,EGY,2003,Rice and products,454.26,8.73,0.92
FBSH,Egypt,EGY,2003,Wheat and products,1063.63,32.26,5.68
FBSH,El Salvador,SLV,2003,Eggs,34.25,2.61,2.27
FBSH,El Salvador,SLV,2003,Maize and products,756.67,19.7,9.01
FBSH,El Salvador,SLV,2003,Milk - Excluding Butter,161.24,9.0,9.0
FBSH,El Salvador,SLV,2003,"Pulses, Other and products",0.3,0.02,0.0
FBSH,El Salvador,SLV,2003,Rice and products,109.86,2.17,0.18
FBSH,El Salvador,SLV,2003,Wheat and products,243.47,6.46,0.71
None,Equatorial Guinea,GNQ,2003,Eggs,None,None,None
None,Equatorial Guinea,GNQ,2003,Maize and products,None,None,None
None,Equatorial Guinea,GNQ,2003,Milk - Excluding Butter,None,None,None
None,Equatorial Guinea,GNQ,2003,"Pulses, Other and products",None,None,None
None,Equatorial Guinea,GNQ,2003,Rice and products,None,None,None
None,Equatorial Guinea,GNQ,2003,Wheat and products,None,None,None
None,Eritrea,ERI,2003,Eggs,None,None,None
None,Eritrea,ERI,2003,Maize and products,None,None,None
None,Eritrea,ERI,2003,Milk - Excluding Butter,None,None,None
None,Eritrea,ERI,2003,"Pulses, Other and products",None,None,None
None,Eritrea,ERI,2003,Rice and products,None,None,None
None,Eritrea,ERI,2003,Wheat and products,None,None,None
FBSH,Estonia,EST,2003,Eggs,39.92,3.07,2.81
FBSH,Estonia,EST,2003,Maize and products,26.87,0.62,0.09
FBSH,Estonia,EST,2003,Milk - Excluding Butter,411.7,24.58,23.9
FBSH,Estonia,EST,2003,"Pulses, Other and products",0.03,0.0,0.0
FBSH,Estonia,EST,2003,Rice and products,27.53,0.52,0.06
FBSH,Estonia,EST,2003,Wheat and products,472.4,13.47,4.02
FBSH,Eswatini,SWZ,2003,Eggs,9.07,0.72,0.63
FBSH,Eswatini,SWZ,2003,Maize and products,668.75,17.62,7.2
FBSH,Eswatini,SWZ,2003,Milk - Excluding Butter,117.91,5.32,5.6
FBSH,Eswatini,SWZ,2003,"Pulses, Other and products",11.21,0.74,0.06
FBSH,Eswatini,SWZ,2003,Rice and products,182.88,3.53,0.26
FBSH,Eswatini,SWZ,2003,Wheat and products,367.99,10.33,2.67
FBSH,Ethiopia,ETH,2003,Eggs,1.62,0.12,0.11
FBSH,Ethiopia,ETH,2003,Maize and products,366.96,8.49,1.21
FBSH,Ethiopia,ETH,2003,Milk - Excluding Butter,59.06,3.4,3.05
FBSH,Ethiopia,ETH,2003,"Pulses, Other and products",87.04,6.0,0.61
FBSH,Ethiopia,ETH,2003,Rice and products,3.99,0.08,0.01
FBSH,Ethiopia,ETH,2003,Wheat and products,319.92,9.55,1.0
FBSH,Fiji,FJI,2003,Eggs,10.53,0.83,0.74
FBSH,Fiji,FJI,2003,Maize and products,8.89,0.16,0.02
FBSH,Fiji,FJI,2003,Milk - Excluding Butter,57.35,3.16,2.85
FBSH,Fiji,FJI,2003,"Pulses, Other and products",9.85,0.63,0.06
FBSH,Fiji,FJI,2003,Rice and products,496.53,9.52,1.83
FBSH,Fiji,FJI,2003,Wheat and products,683.94,18.98,2.11
FBSH,Finland,FIN,2003,Eggs,32.38,2.62,2.27
FBSH,Finland,FIN,2003,Maize and products,0.0,None,0.0
FBSH,Finland,FIN,2003,Milk - Excluding Butter,435.52,27.43,25.61
FBSH,Finland,FIN,2003,"Pulses, Other and products",0.19,0.01,0.0
FBSH,Finland,FIN,2003,Rice and products,43.48,0.83,0.08
FBSH,Finland,FIN,2003,Wheat and products,629.97,20.96,3.13
FBSH,France,FRA,2003,Eggs,58.99,4.77,4.14
FBSH,France,FRA,2003,Maize and products,89.94,2.07,0.29
FBSH,France,FRA,2003,Milk - Excluding Butter,386.15,25.55,25.14
FBSH,France,FRA,2003,"Pulses, Other and products",5.32,0.37,0.02
FBSH,France,FRA,2003,Rice and products,54.13,1.06,0.12
FBSH,France,FRA,2003,Wheat and products,725.39,23.32,3.59
FBSH,Gabon,GAB,2003,Eggs,5.1,0.43,0.35
FBSH,Gabon,GAB,2003,Maize and products,116.54,3.07,1.26
FBSH,Gabon,GAB,2003,Milk - Excluding Butter,52.12,2.31,2.25
FBSH,Gabon,GAB,2003,"Pulses, Other and products",2.23,0.14,0.01
FBSH,Gabon,GAB,2003,Rice and products,375.83,7.25,0.52
FBSH,Gabon,GAB,2003,Wheat and products,373.58,11.21,1.6
FBSH,Gambia,GMB,2003,Eggs,2.71,0.22,0.19
FBSH,Gambia,GMB,2003,Maize and products,79.74,2.1,0.86
FBSH,Gambia,GMB,2003,Milk - Excluding Butter,51.32,2.72,2.65
FBSH,Gambia,GMB,2003,"Pulses, Other and products",56.29,3.33,0.58
