Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Brunei,BRN,20130.25723,18287.82723,18621.29226,20677.90011,24423.0947,29386.27038,34674.79952,36217.32907,42156.56858,30946.46738,34937.55554,46382.82743,46968.59712,44003.06443,41026.50842,30625.12877,26663.2973,28024.38246,30988.11903,30426.57307,26834.35922,31006.96363,36632.9281,32890.54918
Bulgaria,BGR,1621.262107,1770.907049,2092.982886,2719.494369,3389.687434,3899.825963,4523.146558,5888.570814,7271.303389,6988.273163,6853.948055,7849.580613,7431.957895,7795.980921,8069.600057,7268.654455,7822.499233,8696.689304,9849.383972,10353.72046,10760.21198,12966.14575,13999.19495,15853.20864
Burkina Faso,BFA,248.9085269,259.4852234,285.6540876,362.3739,403.8128374,441.164148,455.5136556,514.6844512,619.4375333,601.5695207,624.9572522,725.0247677,731.4701389,759.7620652,764.8616751,630.1247508,663.7423648,709.0915359,777.4656185,764.8530778,825.2370388,895.5352884,827.3308435,873.4825897
Burundi,BDI,134.5378618,132.1595545,120.9523086,111.4066828,125.1949652,147.2346193,161.8927556,166.1627449,189.5020746,198.431524,216.7277053,230.0697614,231.0987878,234.8447702,250.5444922,254.4025852,232.9378121,246.0607257,245.6616783,234.3106159,255.8324539,264.9803793,302.9925053,250.6272531
Cabo Verde,CPV,1189.514793,1223.330553,1328.578743,1717.975654,1929.490815,2004.146804,2256.996662,3324.576752,3908.648858,3659.720464,3579.460061,4002.013869,3736.81517,3960.975968,3985.607065,3415.062667,3608.966052,3893.095714,4294.9651,4380.781173,3539.226612,3971.444092,4323.31362,4794.901219
Cambodia,KHM,296.4266875,327.5009843,350.1472766,386.6911239,444.1990675,525.7973251,612.2526486,731.6922951,866.2839998,875.7489362,952.2746163,1088.981528,1192.80263,1305.660097,1431.563965,1547.320104,1675.195557,1826.353917,2036.673776,2225.877055,2081.739142,2167.403242,2325.0305,2429.748535
Cameroon,CMR,708.5657316,715.4702965,789.6238111,988.2412768,1133.393267,1142.624663,1191.45459,1325.672482,1492.142698,1461.389992,1398.58702,1513.96057,1449.098744,1575.928821,1649.443391,1415.000097,1441.720173,1496.089518,1610.696416,1555.226605,1555.603707,1672.326573,1604.87727,1720.475102
Canada,CAN,24271.00206,23822.09621,24256.01923,28301.86459,32145.54126,36383.66001,40504.0371,44660.08389,46710.25269,40874.88319,47560.6666,52223.85884,52670.34473,52638.11872,50960.84312,43594.1941,42314.06158,45129.62812,46539.17616,46352.86934,43537.8393,52886.66164,56256.80073,54220.3285
Central African Republic,CAF,239.1541337,237.9517025,248.639291,278.4039922,303.4613212,311.9500231,333.9425199,380.8870488,437.2482747,456.4716739,476.873787,534.0572815,544.3958491,364.3669626,409.850486,366.3228539,387.1762034,432.3240257,455.2439629,449.2284676,462.8790713,492.2631428,467.359825,495.9788973
Chad,TCD,163.1216637,194.3229533,219.061392,289.0876211,445.8507672,838.0921077,906.8972606,980.4835315,1166.368835,1035.637197,1141.800693,1308.142187,1354.343447,1304.88743,1278.789814,993.9907306,861.8317676,854.4612004,948.6566299,893.3364416,866.9478149,946.3585002,966.0364683,949.3334537
Chile,CHL,5052.992458,4563.595299,4430.847412,4773.401775,6120.591521,7480.32331,9318.656553,10346.41382,10683.21888,10098.80172,12632.87047,14487.39278,15241.907,15683.54864,14529.67672,13433.9203,13649.85205,14879.90862,15659.48087,14495.71672,13114.81547,16206.83255,15405.61658,17067.03648
China,CHN,969.1995137,1065.405976,1163.559577,1306.972454,1530.927262,1777.644968,2129.25697,2734.727099,3523.443021,3898.244592,4629.245517,5703.76028,6405.057424,7147.035186,7781.065975,8175.332851,8254.868593,8979.676527,10085.66381,10342.90095,10627.4638,12887.43572,12970.60564,12951.17824
Colombia,COL,2555.00751,2472.99084,2428.929698,2311.942188,2818.571954,3456.066109,3789.853612,4769.926147,5541.836297,5250.972924,6398.295845,7400.99407,8108.598382,8279.102556,8187.208249,6248.514905,5959.842504,6479.532313,6816.968183,6472.545449,5339.687114,6222.621644,6680.445069,7000.836605
Comoros,COM,633.3090328,681.1638576,764.6134983,959.6910494,1072.28409,1105.787969,1138.479084,1289.736311,1455.027686,1410.30517,1386.574243,1531.437894,1490.315114,1603.327971,1615.717237,1329.370482,1365.484034,1423.924803,1527.405271,1510.232182,1519.346656,1554.972892,1465.479643,1560.273785
Congo,COG,1024.301591,854.5983144,905.5381355,1016.823634,1306.101363,1799.051584,2103.582138,2206.471019,2832.091778,2271.152192,2946.557981,3396.165058,3732.327373,3697.417059,3601.236581,2439.351894,2093.107286,2211.633099,2694.434132,2488.424667,1993.586672,2516.162551,2620.838043,2477.978455
Costa Rica,CRI,3812.753883,3985.129845,4067.718514,4173.148564,4431.011721,4703.007218,5256.596409,6137.711999,6937.242616,6832.698299,8265.788203,9276.391075,10126.9991,10803.2402,10911.49788,11714.7106,12091.03016,12317.09028,12590.24938,12884.686,12394.0494,12838.11854,13625.90085,16942.02681
Cote d'Ivoire,CIV,936.6365413,924.727295,967.8158644,1111.171351,1199.825245,1197.74617,1230.430568,1367.538177,1583.970667,1540.453936,1553.54887,1596.628266,1546.946018,1786.15862,1991.365394,1814.718551,1862.595971,1964.299303,2130.866194,2141.768362,2179.729348,2455.981276,2333.371283,2591.965905
Croatia,HRV,4953.651588,5364.838247,6219.581641,8190.111352,9718.973228,10443.52784,11501.20997,13755.83211,15888.06069,14474.65198,13729.7655,14691.5583,13507.78053,14134.9475,14186.72955,12283.78406,12820.16539,13901.78781,15460.36696,15563.59873,14807.56085,17788.78658,18465.54144,22184.22793
Cuba,CUB,2751.381771,2842.967043,3005.211042,3202.781099,3399.219629,3786.337992,4329.98266,4807.43889,4986.124365,5089.235198,5272.267558,6104.461052,6470.836734,6828.364282,7146.704591,7727.919972,8110.558743,8610.608296,8911.46206,9232.261159,9605.279146,,,
