IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
NUTUNDERWEIGHTNUM,"Underweight numbers among children under 5 years of age (millions), model-based estimates",numeric,GLOBAL,Global,UN Region,202,Sub-Saharan Africa,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,25695,,,22700,,29015,25 695.0 [22 699.9-29 014.7],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTNUM,"Underweight numbers among children under 5 years of age (millions), model-based estimates",numeric,GLOBAL,Global,UN Region,2,Africa,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,26866,,,23722,,30360,26 865.7 [23 722.1-30 359.6],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTNUM,"Underweight numbers among children under 5 years of age (millions), model-based estimates",numeric,GLOBAL,Global,UN Region,199,Least Developed Countries (LDCs),Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,27317,,,23535,,31576,27 317.2 [23 534.7-31 575.9],,Based on December 2024 Classification,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTNUM,"Underweight numbers among children under 5 years of age (millions), model-based estimates",numeric,GLOBAL,Global,UN Region,543,Oceania excluding Australia and New Zealand,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,273.1,,,152.1,,459.7,273.1 [152.1-459.7],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTNUM,"Underweight numbers among children under 5 years of age (millions), model-based estimates",numeric,GLOBAL,Global,UN Region,722,Small Island Developing States (SIDS),Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,324,,,175.3,,585.9,324.0 [175.3-585.9],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTNUM,"Underweight numbers among children under 5 years of age (millions), model-based estimates",numeric,GLOBAL,Global,UN Region,34,Southern Asia,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,41184,,,29510,,55761,41 184.2 [29 509.7-55 761.3],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTNUM,"Underweight numbers among children under 5 years of age (millions), model-based estimates",numeric,GLOBAL,Global,UN Region,62,Central Asia and Southern Asia,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,41349,,,29758,,55871,41 348.8 [29 757.5-55 871.4],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTNUM,"Underweight numbers among children under 5 years of age (millions), model-based estimates",numeric,GLOBAL,Global,UN Region,777,"Europe, Northern America, Australia and New Zealand",Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,457.1,,,313.1,,666.6,457.1 [313.1-666.6],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTNUM,"Underweight numbers among children under 5 years of age (millions), model-based estimates",numeric,GLOBAL,Global,UN Region,17,Middle Africa,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,4830,,,3463,,6631,4830.4 [3462.5-6631.1],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTNUM,"Underweight numbers among children under 5 years of age (millions), model-based estimates",numeric,GLOBAL,Global,UN Region,142,Asia,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,49966,,,38171,,64598,49 966.3 [38 170.5-64 597.6],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTNUM,"Underweight numbers among children under 5 years of age (millions), model-based estimates",numeric,GLOBAL,Global,UN Region,18,Southern Africa,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,505,,,346.9,,727.3,505.0 [346.9-727.3],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTNUM,"Underweight numbers among children under 5 years of age (millions), model-based estimates",numeric,GLOBAL,Global,UN Region,13,Central America,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,571.2,,,369.8,,875.7,571.2 [369.8-875.7],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTNUM,"Underweight numbers among children under 5 years of age (millions), model-based estimates",numeric,GLOBAL,Global,UN Region,5,South America,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,618.9,,,411.1,,928.2,618.9 [411.1-928.2],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTNUM,"Underweight numbers among children under 5 years of age (millions), model-based estimates",numeric,GLOBAL,Global,UN Region,30,Eastern Asia,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,619.3,,,571.9,,670.6,619.3 [571.9-670.6],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTNUM,"Underweight numbers among children under 5 years of age (millions), model-based estimates",numeric,GLOBAL,Global,UN Region,35,South-eastern Asia,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,6723,,,5207,,8599,6723.4 [5207.1-8598.5],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTNUM,"Underweight numbers among children under 5 years of age (millions), model-based estimates",numeric,GLOBAL,Global,UN Region,753,Eastern Asia and South-eastern Asia,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,7343,,,5840,,9199,7342.7 [5839.7-9198.8],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTNUM,"Underweight numbers among children under 5 years of age (millions), model-based estimates",numeric,GLOBAL,Global,UN Region,29,Caribbean,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,93.7,,,52.4,,165.7,93.7 [52.4-165.7],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTNUM,"Underweight numbers among children under 5 years of age (millions), model-based estimates",numeric,GLOBAL,Global,UN Region,11,Western Africa,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,9987,,,8581,,11577,9987.1 [8581.4-11 577.3],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,21,Northern America,Year,2023,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.7,,,0.2,,1.3,0.7 [0.2-1.3],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,777,"Europe, Northern America, Australia and New Zealand",Year,2023,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.8,,,0.6,,1.2,0.8 [0.6-1.2],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,30,Eastern Asia,Year,2023,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1.1,,,1,,1.2,1.1 [1.0-1.2],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,53,Australia and New Zealand,Year,2023,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1.2,,,,,,1.2,,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,143,Central Asia,Year,2023,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1.9,,,1.3,,2.7,1.9 [1.3-2.7],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,2,Africa,Year,2023,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,12.8,,,11.3,,14.5,12.8 [11.3-14.5],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,432,Landlocked developing countries (LLDCs),Year,2023,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,13,,,9.2,,18.1,13.0 [9.2-18.1],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,17,Middle Africa,Year,2023,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,13.4,,,9.6,,18.3,13.4 [9.6-18.3],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,35,South-eastern Asia,Year,2023,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,13.5,,,10.6,,17.1,13.5 [10.6-17.1],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,202,Sub-Saharan Africa,Year,2023,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,14.1,,,12.5,,16,14.1 [12.5-16.0],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,14,Eastern Africa,Year,2023,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,14.2,,,11.3,,17.7,14.2 [11.3-17.7],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,142,Asia,Year,2023,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,15.4,,,11.8,,19.8,15.4 [11.8-19.8],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,199,Least Developed Countries (LDCs),Year,2023,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,16.7,,,14.5,,19.1,16.7 [14.5-19.1],,Based on December 2024 Classification,EN,2025-05-08T18:30:00.000Z
